trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1340,False,"{'a': 0.002, 'e': 0.06870041768035805}",20,0,29.809745987350244,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1341,False,"{'a': 0.002, 'e': 0.06856315415427791}",25,5,27.497095950376647,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
1342,False,"{'a': 0.002, 'e': 0.06842616488090583}",20,12,15.837705174950885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1343,False,"{'a': 0.002, 'e': 0.06828944931228448}",30,17,22.581414167675245,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1344,False,"{'a': 0.002, 'e': 0.06815300690155146}",25,18,15.468206897399943,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1345,False,"{'a': 0.002, 'e': 0.06801683710293688}",25,9,29.991695632972004,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1346,False,"{'a': 0.002, 'e': 0.06788093937176144}",20,9,-1.4151086496030358,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1347,False,"{'a': 0.002, 'e': 0.06774531316443397}",25,11,27.94514801896477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1348,False,"{'a': 0.002, 'e': 0.0676099579384495}",25,19,12.065165649389778,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1349,False,"{'a': 0.002, 'e': 0.0674748731523869}",20,6,12.96496247762652,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1350,False,"{'a': 0.002, 'e': 0.06734005826590692}",25,20,7.683313685596782,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1351,False,"{'a': 0.002, 'e': 0.06720551273974976}",20,9,19.380198744998868,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1352,False,"{'a': 0.002, 'e': 0.06707123603573319}",25,18,13.27841313082748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1353,False,"{'a': 0.002, 'e': 0.06693722761675015}",20,13,13.91252917725702,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1354,False,"{'a': 0.002, 'e': 0.06680348694676687}",20,8,23.07129081077776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1355,False,"{'a': 0.002, 'e': 0.06667001349082043}",20,10,18.841368440445105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1356,False,"{'a': 0.002, 'e': 0.06653680671501686}",20,15,8.45615151715111,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1357,False,"{'a': 0.002, 'e': 0.06640386608652883}",20,15,2.579132649192172,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1358,False,"{'a': 0.002, 'e': 0.06627119107359372}",30,15,11.962025831863324,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1359,False,"{'a': 0.002, 'e': 0.06613878114551125}",30,12,-16.487791386056283,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
1360,False,"{'a': 0.002, 'e': 0.06600663577264156}",25,14,1.2768042136481546,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1361,False,"{'a': 0.002, 'e': 0.06587475442640295}",30,16,13.440101856028699,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1362,False,"{'a': 0.002, 'e': 0.0657431365792699}",25,11,4.992893894605507,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1363,False,"{'a': 0.002, 'e': 0.0656117817047708}",30,18,20.474473243808475,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1364,False,"{'a': 0.002, 'e': 0.06548068927748603}",25,18,12.351013597568866,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1365,False,"{'a': 0.002, 'e': 0.06534985877304565}",20,14,-1.0203010210914265,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1366,False,"{'a': 0.002, 'e': 0.06521928966812753}",30,10,34.50967647616625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1367,False,"{'a': 0.002, 'e': 0.065088981440455}",25,9,27.575197911087656,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1368,False,"{'a': 0.002, 'e': 0.06495893356879505}",20,12,14.607466656425567,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1369,False,"{'a': 0.002, 'e': 0.06482914553295596}",20,10,18.796496158316167,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1370,False,"{'a': 0.002, 'e': 0.06469961681378547}",20,13,-0.019688762873973475,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1371,False,"{'a': 0.002, 'e': 0.06457034689316847}",25,15,17.75589019976176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1372,False,"{'a': 0.002, 'e': 0.06444133525402518}",20,8,22.233127096482534,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1373,False,"{'a': 0.002, 'e': 0.06431258138030878}",25,17,14.225668430791625,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1374,False,"{'a': 0.002, 'e': 0.06418408475700368}",25,11,26.6799753136771,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1375,False,"{'a': 0.002, 'e': 0.06405584487012317}",20,11,17.843735968019242,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1376,False,"{'a': 0.002, 'e': 0.06392786120670757}",20,14,11.999529259647225,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1377,False,"{'a': 0.002, 'e': 0.063800133254822}",20,9,20.199406671651698,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
